"旧库公司ID","旧库名称","结论","对应启用招聘主体","主体范围说明","归属依据","旧招聘入口","本轮检查证据","以往检查证据"
"co_ae0eb0d8be1d36559544","4399游戏","已关联启用招聘来源","4399游戏","主体已在启用来源中，核验时间见证据。","","https://hr.4399om.com/campus/graduate?jobType=campus_chanpinlei&jobID=JO20250728002
https://web.4399.com/campus/graduate/yunyingshichanglei/guoneilei","","artifacts/deep-source-review/games/manifest.json
artifacts/deep-source-review/combined-manifest.json"
"co_19501ea214f21ce30209","4399游戏-市场运营类","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://hr.4399om.com/weixin?r=job%2Fagent&type=7&isOpen=0&jobTableType=1","retrieved_no_api_link | 2026-09-17T15:28:22.477Z | artifacts/full-registry-review-20260917/discover-portal/3dc8b09f1f0433bd/discovery.json",""
"co_603660b102fb96c00572","4399游戏-海外校招专项","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://hr.4399om.com/campus/graduate?jobType=campus_chanpinlei&jobID=JO20250728002","unverified | 2026-09-17T15:44:06.806Z | artifacts/full-registry-review-20260917/verify-followups/co_603660b102fb96c00572/verification.json
followup_links | 2026-09-17T15:28:22.480Z | artifacts/full-registry-review-20260917/discover-portal/45af781d62119f07/discovery.json",""
"co_ed8c4e792c5f8f856211","4399游戏-游戏策划专场","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://web.4399.com/campus/internship","unverified | 2026-09-17T15:43:53.198Z | artifacts/full-registry-review-20260917/verify-followups/co_ed8c4e792c5f8f856211/verification.json
followup_links | 2026-09-17T15:28:22.960Z | artifacts/full-registry-review-20260917/discover-portal/3d247d94ff74b4c8/discovery.json",""
"co_084aa1454a8892ebb05f","4399游戏-重点岗位","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://hr.4399om.com/campus/graduate?jobType=campus_chanpinlei&jobID=JO20250728002","unverified | 2026-09-17T15:44:07.064Z | artifacts/full-registry-review-20260917/verify-followups/co_084aa1454a8892ebb05f/verification.json
followup_links | 2026-09-17T15:28:22.480Z | artifacts/full-registry-review-20260917/discover-portal/45af781d62119f07/discovery.json",""
"co_a49e57492fd8275aaf3c","58A计划","本轮访问失败／受限","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://campus.58.com/campus/jobs","http_error | 2026-09-17T15:28:23.095Z | artifacts/full-registry-review-20260917/discover-portal/57e4e8e131338ff5/discovery.json",""
"co_1b52d69cf33ddf49baea","58同城","已关联启用招聘来源","58同城","主体已在启用来源中，核验时间见证据。","","https://campus.58.com/campus/jobs
https://campus.58.com/campus/jobs?3=%5B%7B%22id%22%3A%222%22%2C%22label%22%3A%22%E8%BD%AC%E6%AD%A3%E5%AE%9E%E4%B9%A0%E7%94%9F%22%7D%5D","","artifacts/deep-source-review/platforms/manifest.json
artifacts/deep-source-review/combined-manifest.json"
"co_225916844418864f21aa","58同城-58A计划","完整JD可读但主体待核实／错链","","页面页脚/平台链接误抓到 Moka 自身：orgId=moka、org.name=Moka 北京希瑞亚斯科技有限公司、Moka 社招官网。其完整 JD 不能证明原候选企业 API 可用；不准入也不自动新增平台公司。","","https://campus.58.com/campus-recruitment/58/150953#/jobs","verified_api_full_jd | 2026-09-17T15:43:12.530Z | artifacts/full-registry-review-20260917/verify-followups/co_225916844418864f21aa/verification.json
followup_links | 2026-09-17T15:28:23.105Z | artifacts/full-registry-review-20260917/discover-portal/1adb66f6fc984131/discovery.json",""
"co_012eb98157a937aeaa4e","89TRILLION","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/yrBQivOYZCome0BRJz14yg","retrieved_no_api_link | 2026-09-17T15:28:14.933Z | artifacts/full-registry-review-20260917/discover-wechat/3ab0de84da3310c1/discovery.json","artifacts/deep-source-review/games/manifest.json
artifacts/deep-source-review/combined-manifest.json"
"co_3281865a762e25e5f237","9377游戏","已关联启用招聘来源","9377游戏","主体已在启用来源中，核验时间见证据。","","https://9377.zhiye.com/campus
https://9377.zhiye.com/campus/jobs?shareId=27bc1959-182f-494c-b561-5013ac29b57e&shareSource=2&qr=1&memory=%7B%7D&silence=1","","artifacts/deep-source-review/games/manifest.json
artifacts/deep-source-review/combined-manifest.json"
"co_6abd2c6c7df2d4ca17c4","AAC瑞声科技","已关联启用招聘来源","AAC瑞声科技","主体已在启用来源中，核验时间见证据。","","https://talent.aactechnologies.com/campus
https://talent.aactechnologies.com/campus/position/list?spread=A97JBKH","","../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/verified/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/verified/co_6abd2c6c7df2d4ca17c4/verification.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/retry/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/repair/co_6abd2c6c7df2d4ca17c4/verification.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/retry/co_6abd2c6c7df2d4ca17c4/verification.json
../hardware-auto-campus-job-fit/data/candidate-ledger.json"
"co_ac87daed309c08f60641","ABB中国","API当前为空","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://campus.51job.com/ABB2026/job.html
https://mp.weixin.qq.com/s/TS2z4a7FZuNutsByNat2Lg","unverified | 2026-09-17T15:49:46.913Z | artifacts/full-registry-review-20260917/verify-followups/co_ac87daed309c08f60641/verification.json
followup_links | 2026-09-17T15:28:15.225Z | artifacts/full-registry-review-20260917/discover-wechat/9e4f24e02f00bff7/discovery.json
api_empty | 2026-09-17T15:22:23.074Z | artifacts/full-registry-review-20260917/platform-recovery/batch-51job_hosted-zhaopin.json","../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/verified/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/verified/co_ac87daed309c08f60641/verification.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/retry/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/retry/co_ac87daed309c08f60641/verification.json
../hardware-auto-campus-job-fit/data/candidate-ledger.json"
"co_0a1d89737ec8411f35b2","ABB机器人","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://abb.tupu360.com/position/list?type=INTERNSHIPRECRUITMENT&lang=zh_CN
https://mp.weixin.qq.com/s/vaVAg3hF4Ju8_jLi_MBxxA","unverified | 2026-09-17T15:47:19.500Z | artifacts/full-registry-review-20260917/verify-followups/co_0a1d89737ec8411f35b2/verification.json
followup_links | 2026-09-17T15:28:23.344Z | artifacts/full-registry-review-20260917/discover-portal/a46bdd45d4c8498a/discovery.json
followup_links | 2026-09-17T15:28:17.479Z | artifacts/full-registry-review-20260917/discover-wechat/05405c6c179544e3/discovery.json","../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/verified/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/verified/co_0a1d89737ec8411f35b2/verification.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/retry/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/retry/co_0a1d89737ec8411f35b2/verification.json
../hardware-auto-campus-job-fit/data/candidate-ledger.json"
"co_5f9a20874170c541155c","ACROBiosystems百普赛斯","已关联启用招聘来源","ACROBiosystems百普赛斯","主体已在启用来源中，核验时间见证据。","当前匿名公开API返回完整JD，名称与所保存官方入口一致。","https://acrobiosystems.zhiye.com/Campus","verified_api_full_jd | 见原始记录 | artifacts/full-registry-review-20260917/ats-recovery/manifest.json","artifacts/industry-expansion-20260917/verify-ats-2/manifest.json
artifacts/industry-expansion-20260917/verify-ats-2/co_5f9a20874170c541155c/verification.json"
"co_882faefe28371f8145b8","ADI","已关联启用招聘来源","ADI","主体已在启用来源中，核验时间见证据。","","https://www.nowcoder.com/careers/analog/159173","no_api_discovered | 2026-09-17T15:22:24.211Z | artifacts/full-registry-review-20260917/platform-recovery/batch-liepin-boss_zhipin-nowcoder-taleo-oracle_recruiting-greenhouse.json","../hardware-auto-campus-job-fit/artifacts/source-validation/suppliers/verified/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/international/verified/company-a6e21af01e84/verification.json
../hardware-auto-campus-job-fit/artifacts/source-validation/international/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/suppliers/retried/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/suppliers/retried/company-a6e21af01e84/verification.json
../hardware-auto-campus-job-fit/artifacts/source-validation/suppliers/verified/company-a6e21af01e84/verification.json
../hardware-auto-campus-job-fit/artifacts/source-validation/suppliers/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/suppliers/manifest-before-multisite.json
../hardware-auto-campus-job-fit/data/candidate-ledger.json"
"co_4eb39072942debb01946","Advancy Asia","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/GMVCzo5LL4-g666298xPHw
https://mp.weixin.qq.com/s/lb5DcxR29hum9uIL19sXEg","retrieved_no_api_link | 2026-09-17T15:28:17.697Z | artifacts/full-registry-review-20260917/discover-wechat/7880322365f411ed/discovery.json
retrieved_no_api_link | 2026-09-17T15:28:17.839Z | artifacts/full-registry-review-20260917/discover-wechat/9948935a46c21f14/discovery.json",""
"co_1341f9bfea0d70a3267c","Aidite爱迪特","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://www.aidite.com/zh/resume","retrieved_no_api_link | 2026-09-17T15:28:23.357Z | artifacts/full-registry-review-20260917/discover-portal/25967d40b9d88784/discovery.json","artifacts/industry-expansion-20260917/verify-other/manifest.json
artifacts/industry-expansion-20260917/verify-other/co_1341f9bfea0d70a3267c/verification.json"
"co_648687f5a6a12afacc6a","Aiper 元鼎智能","已关联启用招聘来源","Aiper","旧名称与启用招聘主体不同；可能为品牌、活动、子主体或错链，须结合归属说明，不代表旧名称的独立 API 已验证。","","https://aiper.zhiye.com/campus/jobs","","../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/verified/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/verified/co_648687f5a6a12afacc6a/verification.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/manifest.json
../hardware-auto-campus-job-fit/data/candidate-ledger.json"
"co_4d4c05da4e17561e6b43","AITOPIA艾托邦","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://aitopia-bj.feishu.cn/share/base/form/shrcnWzBx7HlslZ70TPORqhJ9Zf","unverified | 2026-09-17T15:47:52.247Z | artifacts/full-registry-review-20260917/verify-followups/co_4d4c05da4e17561e6b43/verification.json
followup_links | 2026-09-17T15:28:23.511Z | artifacts/full-registry-review-20260917/discover-portal/b292abccf30edb96/discovery.json","artifacts/industry-expansion-20260917/verify-other/manifest.json
artifacts/industry-expansion-20260917/verify-other/co_4d4c05da4e17561e6b43/verification.json"
"co_6f535772f891293309a5","Akuna Capital","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://akunacapital.com/careers/job/6690496/junior-developer---c?gh_jid=6690496
https://akunacapital.com/careers/job/7756608/development-internship---c-summer-2026?gh_jid=7756608
https://mp.weixin.qq.com/s/DzYM_f3Ns7CEjHNswRjiDA","http_error | 2026-09-17T15:28:23.836Z | artifacts/full-registry-review-20260917/discover-portal/08cf7bc8fe282c20/discovery.json
http_error | 2026-09-17T15:28:23.853Z | artifacts/full-registry-review-20260917/discover-portal/b194c4c6efa12555/discovery.json
retrieved_no_api_link | 2026-09-17T15:28:20.127Z | artifacts/full-registry-review-20260917/discover-wechat/02976d4499bc0a02/discovery.json","artifacts/industry-expansion-20260917/verify-other/manifest.json
artifacts/industry-expansion-20260917/verify-other/co_6f535772f891293309a5/verification.json"
"co_f58d93d1e3a9603232f9","ALDI奥乐齐","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://www.moseeker.com/position/index/pid/3412048?candidate_source=&city=&company_id=&custom=&degree=&did=&employment_type=&forward_id=6d1ced3eea2511ed846e00163e083938&hb_c=&is_referral=&occupation=&position_field1=&position_field2=&position_field3=&pos=
https://www.moseeker.com/positions/index/cid/650396?candidateSource=1","retrieved_no_api_link | 2026-09-17T15:28:24.421Z | artifacts/full-registry-review-20260917/discover-portal/9ecf426e9abf184a/discovery.json
retrieved_no_api_link | 2026-09-17T15:28:24.606Z | artifacts/full-registry-review-20260917/discover-portal/b5c4d843d327354a/discovery.json","artifacts/industry-expansion-20260917/verify-other/manifest.json
artifacts/industry-expansion-20260917/verify-other/co_f58d93d1e3a9603232f9/verification.json"
"co_4fd2147597ec45d3aad3","AliExpress韩国","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://aidc-jobs.alibaba.com/campus/position-detail?lang=zh&positionId=199900155001","unverified | 2026-09-17T15:45:29.186Z | artifacts/full-registry-review-20260917/verify-followups/co_4fd2147597ec45d3aad3/verification.json
followup_links | 2026-09-17T15:28:24.977Z | artifacts/full-registry-review-20260917/discover-portal/7a1ce3002b74d98f/discovery.json",""
"co_2598a96c6ea1f33b85b5","AlphaGrep","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/l6NWJXROkRdxzxnQWkyP4Q","retrieved_no_api_link | 2026-09-17T15:28:21.753Z | artifacts/full-registry-review-20260917/discover-wechat/7c5342e020d19d38/discovery.json",""
"co_9c34db65c2a851cfd148","AlphaSights","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://www.alphasights.com/job/summer-internship-program-client-service-shanghai-2025-start?gh_jid=6448170&gh_src=d719e0441us","unverified | 2026-09-17T15:48:40.866Z | artifacts/full-registry-review-20260917/verify-followups/co_9c34db65c2a851cfd148/verification.json
http_error | 2026-09-17T15:28:25.222Z | artifacts/full-registry-review-20260917/discover-portal/dcc900e057d56695/discovery.json","artifacts/industry-expansion-20260917/verify-other/manifest.json
artifacts/industry-expansion-20260917/verify-other/co_9c34db65c2a851cfd148/verification.json"
"co_194e2de910d3717152f9","AlphaSights-剩余岗位","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://www.alphasights.com/job/associate-client-service-mandarin-speaker-2026-3","unverified | 2026-09-17T15:48:30.590Z | artifacts/full-registry-review-20260917/verify-followups/co_194e2de910d3717152f9/verification.json
followup_links | 2026-09-17T15:28:25.923Z | artifacts/full-registry-review-20260917/discover-portal/cf05e8aabc2bc61c/discovery.json","artifacts/industry-expansion-20260917/verify-other/manifest.json
artifacts/industry-expansion-20260917/verify-other/co_194e2de910d3717152f9/verification.json"
"co_7b1ddd214a2619283cee","AlphaSights奥法赛","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/cFLZcrJ_rAs3nEEd35eXqw
https://www.alphasights.com/job/associate-client-service-mandarin-speaker-2026-3","unverified | 2026-09-17T15:48:27.274Z | artifacts/full-registry-review-20260917/verify-followups/co_7b1ddd214a2619283cee/verification.json
followup_links | 2026-09-17T15:28:25.923Z | artifacts/full-registry-review-20260917/discover-portal/cf05e8aabc2bc61c/discovery.json
retrieved_no_api_link | 2026-09-17T15:28:21.756Z | artifacts/full-registry-review-20260917/discover-wechat/06409966e34786fc/discovery.json","artifacts/industry-expansion-20260917/verify-other/manifest.json
artifacts/industry-expansion-20260917/verify-other/co_7b1ddd214a2619283cee/verification.json"
"co_240389f4b730bad41f21","AMD","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://careers.amd.com/careers-home/jobs?stretchUnits=MILES&stretch=10&location=China&lat=35&lng=105&woe=12&categories=Student+%2F+Intern+%2F+Temp&page=1
https://mp.weixin.qq.com/s/DFvf7FOapQub15crB-TuEQ
https://mp.weixin.qq.com/s/XWXsAi-vZA0k6AfqD-NJjA","transport_error | 2026-09-17T15:28:26.266Z | artifacts/full-registry-review-20260917/discover-portal/6194facc2f2e76ca/discovery.json
retrieved_no_api_link | 2026-09-17T15:28:23.354Z | artifacts/full-registry-review-20260917/discover-wechat/7ed69efcb970231d/discovery.json
retrieved_no_api_link | 2026-09-17T15:28:24.950Z | artifacts/full-registry-review-20260917/discover-wechat/d9fbb0181ea6d972/discovery.json",""
"co_3674ae0ed068a301d814","Ameco","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/kHAv-XraEN_82NGegRlZUw","retrieved_no_api_link | 2026-09-17T15:28:25.608Z | artifacts/full-registry-review-20260917/discover-wechat/6a999ecaade45eb4/discovery.json",""
"co_27adfcd176912940c561","Ampace新能安","已关联启用招聘来源","新能安","旧名称与启用招聘主体不同；可能为品牌、活动、子主体或错链，须结合归属说明，不代表旧名称的独立 API 已验证。","","https://ampace.hotjob.cn/","","artifacts/industry-expansion-20260917/verify-ats-0/manifest.json
artifacts/industry-expansion-20260917/verify-ats-0/co_27adfcd176912940c561/verification.json"
"co_5a75ab3cce4e26ab39cf","antao安道","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/mlC3-va_XY7qhDgwTKBl8g","retrieved_no_api_link | 2026-09-17T15:28:26.024Z | artifacts/full-registry-review-20260917/discover-wechat/eaad44e4dc285bdb/discovery.json",""
"co_3a7bd3e2360a3d29eea4","Apple","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://jobs.apple.com/zh-cn/search?location=china-CHNC&team=corporate-STDNT-CORP&board_id=JB089&cid=social_corporate_china_wechat_china_spring_ur_graduate
https://jobs.apple.com/zh-cn/search?location=china-CHNC&team=internships-STDNT-INTRN&board_id=JB089&cid=social_corporate_china_wechat_china_spring_ur_intern
https://jobs.apple.com/zh-cn/search?location=china-CHNC&team=internships-STDNT-INTRN&board_id=JB136&cid=social_corporate_china_wechat_china_spring_ur_intern&board_id=JB089
https://mp.weixin.qq.com/s/Tc0SNFQiFT-gn25Huoao-A","unverified | 2026-09-17T15:42:56.232Z | artifacts/full-registry-review-20260917/verify-followups/co_3a7bd3e2360a3d29eea4/verification.json
followup_links | 2026-09-17T15:28:27.396Z | artifacts/full-registry-review-20260917/discover-portal/1b18637964009cb0/discovery.json
followup_links | 2026-09-17T15:28:28.075Z | artifacts/full-registry-review-20260917/discover-portal/23250ad8cea7e513/discovery.json
followup_links | 2026-09-17T15:28:27.749Z | artifacts/full-registry-review-20260917/discover-portal/f5f858a704e5a5a5/discovery.json
retrieved_no_api_link | 2026-09-17T15:28:27.546Z | artifacts/full-registry-review-20260917/discover-wechat/47166b9933af9b17/discovery.json","../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/verified/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/verified/co_3a7bd3e2360a3d29eea4/verification.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/retry/manifest.json
../hardware-auto-campus-job-fit/artifacts/source-validation/hardware/retry/co_3a7bd3e2360a3d29eea4/verification.json
../hardware-auto-campus-job-fit/data/candidate-ledger.json"
"co_8f566f9f35325910c43c","APT集团","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://www.wjx.cn/vm/wFoNu60.aspx","unverified | 2026-09-17T15:44:55.861Z | artifacts/full-registry-review-20260917/verify-followups/co_8f566f9f35325910c43c/verification.json
followup_links | 2026-09-17T15:28:28.875Z | artifacts/full-registry-review-20260917/discover-portal/6b2ada83e6a2dc83/discovery.json",""
"co_c9be52892298373d1d5b","Aquacells淡元格","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/g6chYq1JVliQVQT9nkXplA","retrieved_no_api_link | 2026-09-17T15:28:28.707Z | artifacts/full-registry-review-20260917/discover-wechat/8ca5d38277bf4653/discovery.json",""
"co_4edfbd28d0483e702f24","Artefact","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/9PZwKJ2JpqZp1NQdXvZtLA
https://mp.weixin.qq.com/s/9XqLoS8Wokv9CAn76aPiuA","unreadable_article | 2026-09-17T15:28:28.871Z | artifacts/full-registry-review-20260917/discover-wechat/45ec8d95228cf9f7/discovery.json
retrieved_no_api_link | 2026-09-17T15:28:29.559Z | artifacts/full-registry-review-20260917/discover-wechat/e904d0a9a7f9d169/discovery.json",""
"co_e216bf1dfb9b263e8bfd","ASML阿斯麦","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://campus.51job.com/asml2027","no_api_discovered | 2026-09-17T15:22:23.156Z | artifacts/full-registry-review-20260917/platform-recovery/batch-51job_hosted-zhaopin.json",""
"co_edc80bd3f91db2f6b4d3","ASML阿斯麦光刻","已关联启用招聘来源","ASML阿斯麦光刻","主体已在启用来源中，核验时间见证据。","Employer portal plus live API organization/body evidence support this source; publication type and coverage remain per JD.","http://campus.51job.com/asml2026/job.html
https://campus.51job.com/asml2026/job.html","api_incomplete | 2026-09-17T15:28:09.904Z | artifacts/full-registry-review-20260917/platform-recovery/batch-51job_hosted-zhaopin.json
api_incomplete | 2026-09-17T15:28:09.816Z | artifacts/full-registry-review-20260917/platform-recovery/batch-51job_hosted-zhaopin.json",""
